,Name,Year,GroupNum,Status,Birth_Date,Birth_Place,Gender,Alma_Mater,Undergraduate_Major,Graduate_Major,Military_Rank,Military_Branch,Space_Flights,Space_Flight_hr,Space_Walks,Space_Walks_hr,Missions,Death_Date,Death_Mission
179,Kathryn D. Sullivan,1978,8,Retired,3/10/51,"Patterson, NJ",Female,University of California-Santa Cruz; Dalhousie...,Earth Sciences,Earth Sciences; Geology,Colonel,US Air Force (Retired),3,532,1,3,"STS 41-G (Challenger), STS-31 (Discovery), STS...",NaN,NaN
180,Kathryn P. Hire,1995,15,Management,26-08-1959,"Mobile, AL",Female,US Naval Academy; Florida State Institute of T...,Engineering Management,Space Technology,Captain,US Naval Reserves,2,711,0,0,"STS-90 (Columbia), STS-130 (Endeavor)",NaN,NaN
181,Kenneth D. Bowersox,1987,12,Retired,14-11-1956,"Portsmouth, VA",Male,US Naval Academy; Columbia University,Aerospace Engineering,Mechanical Engineering,Captain,US Navy (Retired),5,5078,2,13,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (...",NaN,NaN
182,Kenneth D. Cameron,1984,10,Retired,29-11-1949,"Cleveland, OH",Male,MIT; Michigan State University,Aeronautics & Astronautics,Aeronautics & Astronautics; Business Administr...,Colonel,US Marine Corps (Retired),3,562,0,0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 ...",NaN,NaN
183,Kenneth D. Cockrell,1990,13,Management,9/4/50,"Austin, TX",Male,University of Texas; University of West Florida,Mechanical Engineering,Aeronautical Systems,Colonel,US Naval Reserves,5,1548,0,0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 ...",NaN,NaN
184,Kenneth S. Reightler Jr.,1987,12,Retired,24-03-1951,"Patuxent River, MD",Male,US Naval Academy; US Naval Postgraduate School...,Aerospace Engineering,Aeronautical Engineering; Systems Management,Captain,US Navy (Retired),2,327,0,0,"STS-48 (Discovery), STS-60 (Discovery)",NaN,NaN
185,Kenneth T. Ham,1998,17,Retired,12/12/64,"Plainfield, NJ",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,612,0,0,"STS-124 (Discovery), STS-132 (Atlantis)",NaN,NaN
186,Kent V. Rominger,1992,14,Retired,7/8/56,"Del Norte, CO",Male,Colorado State University; US Naval Postgradua...,Civil Engineering,Aeronautical Engineering,Captain,US Navy (Retired),5,1611,0,0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (...",NaN,NaN
187,Kevin A. Ford,2000,18,Active,7/7/60,"Portland, IN",Male,University of Notre Dame; Troy State Universit...,Aerospace Engineering,International Relations; Aerospace Engineering...,Colonel,US Air Force (Retired),2,3781,0,0,"STS-128 (Discovery), ISS-33/34 (Soyuz)",NaN,NaN
188,Kevin P. Chilton,1987,12,Retired,11/3/54,"Los Angeles, CA",Male,US Air Force Academy; Columbia University,Engineering Science,Mechanical Engineering,Brigadier General,US Air Force (Retired),3,700,0,0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (...",NaN,NaN
189,Kevin R. Kregel,1992,14,Retired,16-09-1956,"New York, NY",Male,US Air Force Academy; Troy State University,Astronautical Engineering,Public Administration,Brigadier General,US Air Force (Retired),4,1265,0,0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 ...",NaN,NaN
190,Kjell N. Lindgren,2009,20,Active,23-01-1973,"Taipei, Taiwan",Male,US Air Force Academy; University of Colorado; ...,Biology,Medicine; Cardiovascular Physiology; Health In...,Brigadier General,US Air Force (Retired),1,3400,2,15,ISS-44/45 (Soyuz),NaN,NaN
191,L. Blaine Hammond Jr.,1984,10,Retired,16-01-1952,"Savannah, GA",Male,US Air Force Academy; Georgia Institute of Tec...,Engineering Science,Engineering Science,Colonel,US Air Force (Retired),2,462,0,0,"STS-39 (Discovery), STS-64 (Discovery)",NaN,NaN
192,L. Gordon Cooper Jr.,1959,1,Deceased,6/3/27,"Shawnee, OK",Male,Air Force Institute of Technology,Aeronautical Engineering,Engineering Science,Colonel,US Air Force (Retired),2,225,0,0,"Mercury 9, Gemini 5",4/10/04,Natural causes
193,Laurel B. Clark,1996,16,Deceased,10/3/61,"Ames, IA",Female,University of Wisconsin-Madison,Zoology,Medicine,Captain,US Navy,1,382,0,0,STS-107 (Columbia),1/2/03,STS-107 (Columbia)
194,Lawrence J. Delucas,1996,16,Retired,11/7/50,"Syracuse, NY",Male,University of Alabama at Birmingham,Chemistry; Physiological Optics,Chemistry; Biochemistry; Optometry,Captain,US Navy,1,331,0,0,STS-50 (Columbia),NaN,NaN
195,Lee J. Archambault,1998,17,Retired,25-08-1960,"Oak Park, IL",Male,University of Illinois-Urbana,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,Colonel,US Air Force,2,639,0,0,"STS-117 (Atlantis), STS-119 (Discovery)",NaN,NaN
196,Lee M. Morin,1996,16,Management,9/9/52,"Manchester, NH",Male,University of New Hampshire; University of Ala...,Mathematical & Electrical Science,Public Health; Biochemistry; Medicine; Microbi...,Captain,US Navy,1,259,2,14,STS-110 (Atlantis),NaN,NaN
197,Leland D. Melvin,1998,17,Management,15-02-1964,"Lynchburg, VA",Male,University of Richmond; University of Virginia,Chemistry,Materials Science Engineering,Captain,US Navy,2,565,0,0,"STS-122 (Atlantis), STS-129 (Atlantis)",NaN,NaN
198,Leroy Chiao,1990,13,Retired,28-08-1960,"Milwaukee, WI",Male,University of California-Berkeley; University ...,Chemical Engineering,Chemical Engineering,Captain,US Navy,4,5503,6,36,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (...",NaN,NaN
199,Linda M. Godwin,1985,11,Retired,2/7/52,"Cape Girardeau, MO",Female,Southeast Missouri State; University of Missouri,Mathematics & Physics,Physics,Captain,US Navy,4,918,2,10,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (...",NaN,NaN
200,Lisa M. Nowak,1996,16,Retired,10/5/63,"Washington, DC",Female,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,306,0,0,STS-121 (Discovery),NaN,NaN
201,Lodewijk van den Berg,1996,16,Retired,24-03-1932,"Sluiskil, Netherlands",Male,Delft University of Technology; University of ...,Chemical Engineering,Applied Science,Captain,US Navy (Retired),1,168,0,0,STS 51-B (Challenger),NaN,NaN
202,Loren J. Shriver,1978,8,Retired,23-09-1944,"Jefferson, IA",Male,US Air Force Academy; Purdue University,Aeronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),3,386,0,0,"STS 51-C (Discovery), STS-31 (Discovery), STS-...",NaN,NaN
203,Loren W. Acton,1978,8,Retired,7/3/36,"Lewiston, MT",Male,Montana State University; University of Colorado,Engineering Physics,Solar Physics,Colonel,US Air Force (Retired),1,190,0,0,STS 51-F (Challenger),NaN,NaN
204,M. Scott Carpenter,1959,1,Retired,1/5/25,"Boulder, CO",Male,University of Colorado,Aeronautical Engineering,Solar Physics,Commander,US Navy (Retired),1,4,0,0,Mercury 7,NaN,NaN
205,Mae C. Jemison,1987,12,Retired,17-10-1956,"Decatur, AL",Female,Stanford University; Cornell University,Chemical Engineering,Medicine,Commander,US Navy (Retired),1,190,0,0,STS-47 (Endeavor),NaN,NaN
206,Manley Lanier Carter Jr.,1984,10,Deceased,15-08-1947,"Macon, GA",Male,Emory University,Chemistry,Medicine,Captain,US Navy,1,120,0,0,STS-33 (Discovery),4/5/91,NaN
207,Margaret Rhea Seddon,1978,8,Retired,8/11/47,"Murfreesboro, TN",Female,University of California-Berkeley; University ...,Physiology,Medicine,Captain,US Navy,3,722,0,0,"STS 51-D (Discovery), STS-40 (Columbia), STS-5...",NaN,NaN
208,Mario Runco Jr.,1987,12,Management,26-01-1952,"Bronx, NY",Male,City College of New York; Rutgers University,Earth & Planetary Science,Atmospheric Physics,Lieutenant Commander,US Navy (Retired),3,551,0,0,"STS-44 (Atlantis), STS-54 (Endeavor), STS-77 (...",NaN,NaN
209,Mark C. Lee,1984,10,Retired,14-08-1952,"Viroqua, WI",Male,US Air Force Academy; MIT,Civil Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),4,789,4,26,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (...",NaN,NaN
210,Mark E. Kelly,1996,16,Retired,21-02-1964,"Orange, NJ",Male,US Merchant Marine Academy; US Naval Postgradu...,Marine Engineering & Nautical Science,Aeronautical Engineering,Captain,US Navy (Retired),4,1298,0,0,"STS-108 (Endeavor), STS-121 (Discovery), STS-1...",NaN,NaN
211,Mark L. Polansky,1996,16,Retired,2/6/56,"Paterson, NJ",Male,Purdue University,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,Captain,US Navy (Retired),3,995,0,0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127...",NaN,NaN
212,Mark N. Brown,1984,10,Retired,18-11-1951,"Valparaiso, IN",Male,Purdue University; Air Force Institute of Tech...,Aeronautical & Astronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),2,249,0,0,"STS 28 (Columbia), STS-48 (Discovery)",NaN,NaN
213,Mark T. Vande Hei,2009,20,Active,10/11/66,"Falls Church, VA",Male,Saint John’s University; Stanford University,Physics,Applied Physics,Colonel,US Army,0,0,0,0,"STS 28 (Columbia), STS-48 (Discovery)",NaN,NaN
214,Marsha S. Ivins,1984,10,Retired,15-04-1951,"Baltimore, MD",Female,University of Colorado,Aerospace Engineering,Applied Physics,Colonel,US Army,5,1341,0,0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (...",NaN,NaN
215,Martin J. Fettman,1984,10,Retired,31-12-1956,"Brooklyn, NY",Male,Cornell University; Colorado State University,Animal Nutrition,Physiology,Colonel,US Army,1,336,0,0,STS-58 (Columbia),NaN,NaN
216,Mary E. Weber,1992,14,Retired,24-08-1962,"Cleveland, OH",Female,Purdue University; University of California-Be...,Chemical Engineering,Physical Chemistry,Colonel,US Army,2,450,0,0,"STS-70 (Discovery), STS-101 (Atlantis)",NaN,NaN
217,Mary L. Cleave,1980,9,Retired,5/2/47,"Southampton, NY",Female,Colorado State University; Utah State University,Biological Science,Microbial Ecology; Environmental Engineering,Colonel,US Army,2,262,0,0,"STS 61-B (Atlantis), STS-30 (Atlantis)",NaN,NaN
218,Michael A. Baker,1985,11,Management,27-10-1953,"Memphis, TN",Male,University of Texas,Aerospace Engineering,Microbial Ecology; Environmental Engineering,Captain,US Navy (Retired),4,965,0,0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (...",NaN,NaN
219,Michael Collins,1963,3,Retired,31-10-1930,"Rome, Italy",Male,US Military Academy,Aerospace Engineering,Microbial Ecology; Environmental Engineering,Captain,US Air Force Reserves,2,266,1,1,"Gemini 10, Apollo 11",NaN,NaN
220,Michael E. Fossum,1998,17,Active,19-12-1957,"Sioux Falls, SD",Male,Texas A&M University; Air Force Institute of T...,Mechanical Engineering,Systems Engineering; Physical Science (Space S...,Captain,US Air Force Reserves (Retired),3,4651,7,48,"STS-121 (Discovery), STS-124 (Discovery), ISS-...",NaN,NaN
221,Michael E. Lopez-Alegria,1992,14,Retired,30-05-1958,"Madrid, Spain",Male,US Naval Academy; US Naval Postgraduate School,Systems Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,6190,10,67,"STS-73 (Columbia), STS-92 (Discovery), STS-113...",NaN,NaN
222,Michael J. Bloomfield,1995,15,Retired,16-03-1959,"Flint, MI",Male,US Air Force Academy; Old Dominion University,Engineering Mechanics,Engineering Management,Colonel,US Air Force (Retired),3,779,0,0,"STS-86 (Atlantis), STS-97 (Endeavor), STS-110 ...",NaN,NaN
223,Michael J. Foreman,1998,17,Management,29-03-1957,"Columbus, OH",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,637,5,32,"STS-123 (Endeavor), STS-129 (Atlantis)",NaN,NaN
224,Michael J. Massimino,1996,16,Management,19-08-1962,"Oceanside, NY",Male,Columbia University; MIT,Industrial Engineering,Technology & Policy; Mechanical Engineering,Captain,US Navy (Retired),2,571,4,30,"STS-109 (Columbia), STS-125 (Atlantis)",NaN,NaN
225,Michael J. McCulley,1984,10,Retired,4/8/43,"San Diego, CA",Male,Purdue University,Metallurgical Engineering,Metallurgical Engineering,Captain,US Navy (Retired),1,119,0,0,STS-34 (Atlantis),NaN,NaN
226,Michael J. Smith,1980,9,Deceased,30-04-1945,"Beaufort, NC",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Aeronautical Engineering,Captain,US Navy,1,0,0,0,STS 51-L (Challenger),28-01-1986,STS 51-L (Challenger)
227,Michael L. Coats,1978,8,Retired,16-01-1946,"Sacramento, CA",Male,US Naval Academy; George Washington University...,Naval Sciences,Science & Technology Administration; Aeronauti...,Captain,US Navy (Retired),3,463,0,0,"STS 41-D (Discovery), STS-29 (Discovery), STS-...",NaN,NaN
228,Michael L. Gernhardt,1992,14,Management,4/5/56,"Mansfield, OH",Male,Vanderbilt University; University of Pennsylvania,Physics,Bioengineering,Captain,US Navy (Retired),4,1039,4,23,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (...",NaN,NaN
229,Michael P. Anderson,1995,15,Deceased,25-12-1959,"Plattsburgh, NY",Male,University of Washington; Creighton University,Physics & Astronomy,Physics,Lieutenant Colonel,US Air Force,2,594,0,0,"STS-89 (Endeavor), STS-107 (Columbia)",1/2/03,STS-107 (Columbia)
230,Michael R. Barratt,2000,18,Active,16-04-1959,"Vancouver, WA",Male,University of Washington; Northwestern Univers...,Zoology,Medicine; Aerospace Medicine,Lieutenant Colonel,US Air Force,2,5075,1,5,"ISS-19/20 (Soyuz), STS-133 (Discovery)",NaN,NaN
231,Michael R. Clifford,1990,13,Retired,13-10-1952,"San Bernardino, CA",Male,US Military Academy; Georgia Institute of Tech...,Zoology,Aerospace Engineering,Lieutenant Colonel,US Army (Retired),3,666,1,6,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 ...",NaN,NaN
232,Michael S. Hopkins,2009,20,Active,28-12-1968,"Lebanon, MO",Male,University of Illinois; Stanford University,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force,1,3990,2,13,ISS-37/38 (Soyuz),NaN,NaN
233,Michael T. Good,2000,18,Management,13-10-1962,"Parma, OH",Male,University of Notre Dame,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,592,4,30,"STS-125 (Atlantis), STS-132 (Atlantis)",NaN,NaN
234,Millie Hughes-Fulford,2000,18,Retired,21-12-1945,"Mineral Wells, TX",Female,Tarleton State University; Texas Woman’s Unive...,Chemistry & Biology,Aerospace Engineering,Colonel,US Air Force (Retired),1,218,0,0,STS-40 (Columbia),NaN,NaN
235,N. Jan Davis,1987,12,Retired,1/11/53,"Cocoa Beach, FL",Female,Georgia Institute of Technology; Auburn Univer...,Applied Biology; Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),3,673,0,0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 ...",NaN,NaN
236,Nancy J. Currie,1990,13,Management,29-12-1958,"Wilmington, DE",Female,Ohio State University; University of Southern ...,Biological Science,Safety Engineering; Industrial Engineering,Colonel,US Army (Retired),4,999,0,0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 ...",NaN,NaN
237,Neil A. Armstrong,1962,2,Deceased,5/8/30,"Wapakoneta, OH",Male,Purdue University; University of Southern Cali...,Aeronautical Engineering,Aerospace Engineering,Colonel,US Army (Retired),2,205,1,2,"Gemini 8, Apollo 11",25-08-2012,Complications from cardiac surgery
238,Neil W. Woodward III,1998,17,Retired,26-07-1962,"Chicago, IL",Male,MIT; University of Texas-Austin; George Washin...,Physics,Physics; Business Management,Commander,US Navy,0,0,0,0,"Gemini 8, Apollo 11",NaN,NaN
239,Niclolas J. M. Patrick,1998,17,Retired,22-03-1964,"North Yorkshire, England",Male,University of Cambridge; MIT,Engineering,Engineering; Mechanical Engineering,Commander,US Navy,2,638,3,18,"STS-116 (Discovery), STS-130 (Endeavor)",NaN,NaN
240,Nicole P. Stott,2000,18,Active,19-11-1962,"Albany, NY",Female,Embry-Riddle Aeronautical University; Universi...,Aeronautical Engineering,Engineering Management,Commander,US Navy,2,2477,1,6,"STS-128/129 (Discovery/Atlantis), STS-133 (Dis...",NaN,NaN
241,Norman E. Thagard,1978,8,Retired,3/7/43,"Marianna, FL",Male,Florida State University; University of Texas,Engineering Science,Engineering Science; Medicine,Commander,US Navy,5,3373,0,0,"STS-7 (Challenger), STS 51-B (Challenger), STS...",NaN,NaN
242,Owen K. Garriott,1965,4,Retired,22-11-1930,"Enid, OK",Male,University of Oklahoma; Stanford University,Electrical Engineering,Electrical Engineering,Commander,US Navy,2,1674,3,14,"Skylab 3, STS-9 (Columbia)",NaN,NaN
243,Pamela A. Melroy,1995,15,Retired,17-09-1961,"Palo Alto, CA",Female,Wellesley College; MIT,Physics & Astronomy,Earth & Planetary Sciences,Colonel,US Air Force (Retired),3,914,0,0,"STS-92 (Discovery), STS-112 (Atlantis), STS-12...",NaN,NaN
244,Patricia Hilliard Robertson,1998,17,Deceased,12/3/63,"Indiana, PA",Female,Indiana University of Pennsylvania; Medical Co...,Biology,Medicine,Colonel,US Air Force (Retired),0,0,0,0,"STS-92 (Discovery), STS-112 (Atlantis), STS-12...",24-05-2001,NaN
245,Patrick G. Forrester,1996,16,Management,31-03-1957,"El Paso, TX",Male,US Military Academy; University of Virginia,Applied Science & Engineering,Mechanical & Aerospace Engineering,Colonel,US Army (Retired),3,950,4,25,"STS-105 (Discovery), STS-117 (Atlantis), STS-1...",NaN,NaN
246,Paul D. Scully-Power,1996,16,Retired,28-05-1944,"Sydney, Australia",Male,University of Sydney,Applied Mathematics,Mechanical & Aerospace Engineering,Colonel,US Army (Retired),1,197,0,0,STS 41-G (Challenger),NaN,NaN
247,Paul J. Weitz,1966,5,Retired,25-06-1932,"Erie, PA",Male,Pennsylvania State University; US Naval Postgr...,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,793,1,2,"Skylab 2, STS-6 (Challenger)",NaN,NaN
248,Paul S. Lockhart,1996,16,Retired,28-04-1956,"Amarillo, TX",Male,Texas Tech University; University of Texas,Mathematics,Aerospace Engineering,Colonel,US Air Force (Retired),2,663,0,0,"STS-111 (Endeavor), STS-113 (Endeavor)",NaN,NaN
249,Paul W. Richards,1996,16,Management,20-05-1964,"Scranton, PA",Male,Drexel University; University of Maryland,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),1,307,1,6,STS-102 (Discovery),NaN,NaN
250,Peggy A. Whitson,1996,16,Active,9/2/60,"Mt. Ayr, IA",Female,Iowa Wesleyan College; Rice University,Chemistry & Biology,Biochemistry,Colonel,US Air Force (Retired),3,11698,7,46,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50...",NaN,NaN
251,Peter J. K. Wisoff,1990,13,Retired,16-08-1958,"Norfolk, VA",Male,University of Virginia; Stanford University,Physics,Applied Physics,Colonel,US Air Force (Retired),4,1064,3,20,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (...",NaN,NaN
252,Philip K. Chapman,1967,6,Retired,5/3/35,"Melbourne, Australia",Male,University of Sydney; MIT,Physics & Mathematics,Aeronautics & Astronautics; Instrumentation,Colonel,US Air Force (Retired),0,0,0,0,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (...",NaN,NaN
253,Pierre J. Thuot,1985,11,Retired,19-05-1955,"Groton, CT",Male,US Naval Academy; University of Southern Calif...,Physics,Systems Management,Commander,US Navy,3,654,3,17,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (...",NaN,NaN
254,Piers J. Sellers,1996,16,Management,11/4/55,"Crowborough, England",Male,University of Edinburgh; Leeds University,Ecological Science,Biometeorology,Commander,US Navy,3,839,6,41,"STS-112 (Atlantis), STS-121 (Discovery), STS-1...",NaN,NaN
255,Randolph J. Bresnik,2004,19,Active,11/9/67,"Fort Knox, KY",Male,The Citadel; University of Tennessee-Knoxville,Mathematics,Aviation Systems,Colonel,US Marine Corps,1,259,2,12,STS-129 (Atlantis),NaN,NaN
256,Rex J. Walheim,1996,16,Active,10/10/62,"Redwood, CA",Male,University of California-Berkeley; University ...,Mechanical Engineering,Industrial Engineering,Colonel,US Air Force (Retired),3,872,5,36,"STS-110 (Atlantis), STS-122 (Atlantis), STS-13...",NaN,NaN
257,Richard A. Mastracchio,1996,16,Active,11/2/60,"Waterbury, CT",Male,University of Connecticut; Rensselaer Polytech...,Electrical Engineering; Computer Science,Electrical Engineering; Physical Sciences,Colonel,US Air Force (Retired),4,5461,9,53,"STS-106 (Atlantis), STS-118 (Endeavor), STS-13...",NaN,NaN
258,Richard A. Searfoss,1990,13,Retired,5/6/56,"Mount Clemens, MI",Male,US Air Force Academy; California Institute of ...,Aeronautical Engineering,Aeronautics,Colonel,US Air Force (Retired),3,939,0,0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (...",NaN,NaN
259,Richard F. Gordon Jr.,1963,3,Retired,5/10/29,"Seattle, WA",Male,University of Washington,Chemistry,Aeronautics,Captain,US Navy (Retired),2,315,1,0.5,"Gemini 11, Apollo 12",NaN,NaN
260,Richard H. Truly,1969,7,Retired,12/11/37,"Fayette, MS",Male,Georgia Institute of Technology,Aeronautical Engineering,Aeronautics,Vice Admiral,US Navy (Retired),2,199,0,0,"STS-2 (Columbia), STS-8 (Challenger)",NaN,NaN
261,Richard J. Hieb,1985,11,Retired,21-09-1955,"Jamestown, ND",Male,Northwest Nazarene College; University of Colo...,Mathematics & Physics,Aerospace Engineering,Vice Admiral,US Navy (Retired),3,766,3,18,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 ...",NaN,NaN
262,Richard M. Linnehan,1992,14,Management,19-09-1957,"Lowell, MA",Male,University of New Hampshire; Ohio State Univer...,Animal Science,Veterinary Medicine; Public Administration,Vice Admiral,US Navy (Retired),4,1427,6,43,"STS-78 (Columbia), STS-90 (Columbia), STS-109 ...",NaN,NaN
263,Richard M. Mullane,1978,8,Retired,10/9/45,"Wichita Falls, TX",Male,US Military Academy; US Air Force Institute of...,Military Engineering,Aeronautical Engineering,Colonel,US Air Force (Retired),3,356,0,0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-3...",NaN,NaN
264,Richard N. Richards,1980,9,Retired,24-08-1946,"Key West, FL",Male,University of Missouri; University of West Flo...,Chemical Engineering,Aeronautical Systems,Captain,US Navy (Retired),4,813,0,0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 ...",NaN,NaN
265,Richard O. Covey,1978,8,Retired,1/8/46,"Fayetteville, AR",Male,US Air Force Academy; Purdue University,Engineering Science,Aeronautics & Astronautics,Colonel,US Air Force (Retired),4,645,0,0,"STS 51-l (Discovery), STS-26 (Discovery), STS-...",NaN,NaN
266,Richard R. Arnold II,2004,19,Active,26-11-1963,"Cheverly, MD",Male,Frostburg State University; University of Mary...,Accounting,Environmental Science,Colonel,US Air Force (Retired),1,307,2,12,STS-119 (Discovery),NaN,NaN
